,Title,Link
0,b'Coding Startups - Coders with entrepreneurial mindset',https://codingstartups.com/
1,"b'Lauren Glass, Author at Coding Startups'",https://codingstartups.com/author/ljglass/
2,"b'Omer Goldberg, Author at Coding Startups'",https://codingstartups.com/author/omergoldberg/
3,b'CodingStartups - Home | Facebook',https://www.facebook.com/codingstartups/?ref=page_internal
4,"b'When is the best time to stream on Facebook Live? I analyzed 5,000 ...'",https://medium.freecodecamp.org/the-best-time-to-stream-on-facebook-live-my-analysis-5-000-facebook-posts-c8346b732d0f
5,b'Machine Learning for Hackers: Model Comparison and Selection',https://hackernoon.com/machine-learning-for-hackers-model-comparison-and-selection-84fa910fcd42
6,b'CodingStartups (@codingstartups) \xe2\x80\xa2 Instagram photos and videos',https://www.instagram.com/codingstartups/
7,"b""How to estimate an article's read time \xe2\x80\x93 Hacker Noon - Medium""",https://medium.com/@assafelovic/how-to-estimate-an-articles-read-time-a7acfd08296f?source=rss------programming-5
8,b'scraping-with-python/web_scraping.py at master \xc2\xb7 CodingStartups ...',https://github.com/CodingStartups/scraping-with-python/blob/master/web_scraping.py
9,"b""Assaf Elovic \xe2\x80\x93 Chatbot's Life""",https://chatbotslife.com/@assafelovic
